stream,ID,twi30agg,tpi30agg,accum30,vv30agg,vvsd30agg,npol30agg,NDVI_med,nppmmid30agg,deficitRS,cad30RS,decid30RS,Green_med,NIR_med,cpg30precip,NHDPlus,utm1,utm2,lon,Class,spatial_cluster80,spatial_cluster40,sb_med
X1,2203,8.37061786651611,-0.0151909720152617,311.348052978516,-9.47478294372559,1.88847351074219,0.23972100019455,0.685766816139221,5121.87109375,431,-10.0042753219604,0.135744199156761,556.447021484375,2497.85083007812,50125,0,206769.474099999,540302.8517,-114.848827091859,X1,29,43,8
X1,102,10.0012168884277,-1.63606774806976,4005.66064453125,-10.7825832366943,1.95594930648804,0.207141876220703,0.613860309123993,2087.67919921875,272,-5.36960363388062,0.0827249735593796,561.474792480469,2002.15161132812,77239,1,206476.923800001,518450.949899999,-114.832596262166,X1,29,183,4
X1,214,8.04573535919189,-0.985744893550873,1643.36657714844,-6.54671001434326,2.49183893203735,0.346473276615143,0.704813003540039,5068.9775390625,309,-4.61947107315063,0.223201990127563,389.452728271484,1675.20544433594,69902,0,207448.2641,520345.15870000003,-114.821214705859,X1,52,85,4
X1,597,7.03555631637573,-1.23790144920349,2039.80517578125,-9.39872169494629,2.02591609954834,0.219305366277695,0.679827451705933,2843.73950195312,350,-3.54961752891541,0.14516344666481,531.900939941406,2365.67724609375,79283,1,209918.7842,524400.248500001,-114.791534276275,X1,108,52,3
X1,160,6.47311592102051,-1.00884330272675,303.500518798828,-8.87676620483398,1.97664523124695,0.256406098604202,0.705419063568115,5078.08984375,302,-2.92513585090637,0.0589013434946537,414.845947265625,1906.87658691406,72154,0,206472.690400001,519270.101500001,-114.83340785921,X1,29,183,4
X1,3176,8.17862796783447,-3.97757983207703,3340.75805664062,-7.0448112487793,1.86362874507904,0.321086406707764,0.7132368683815,6270.66357421875,293,-2.08740305900574,0.183488443493843,452.788238525391,2072.78637695312,85960,1,170107.4921,550859.287799999,-115.356452497658,X1,58,40,9
X1,2599,8.53572273254395,-0.647759318351746,2017.798828125,-8.65769672393799,1.46707212924957,0.234503701329231,0.725385308265686,5330.96826171875,319,-5.92157363891602,0.218223944306374,428.247344970703,2012.98754882812,66207,1,185850.66,545631.9593,-115.137621494859,X1,72,30,4
X1,2184,10.041130065918,-0.255818694829941,815.819458007812,-8.88204383850098,1.59159219264984,0.255481123924255,0.727974951267242,5313.298828125,426,-9.88925743103027,0.158243358135223,450.578186035156,2166.66918945312,49724,0,206784.290899999,540141.9848,-114.848477042621,X1,29,43,8
X1,442,7.70309925079346,0.4725341796875,438.138641357422,-9.59393405914307,2.99142980575562,0.217253312468529,0.700466752052307,6713.99267578125,240,-4.58645677566528,0.18701009452343,333.702697753906,1571.63342285156,81072,0,165102.4407,527433.817500001,-115.400393525311,X1,92,169,8
X1,181,7.58545732498169,-2.61162662506104,366.518493652344,-7.24491596221924,2.04498648643494,0.292526811361313,0.647592484951019,4169.02490234375,320,-3.90017366409302,0.124771118164062,603.031677246094,2511.95336914062,67442,0,209588.2183,519265.656500001,-114.791308349727,X1,108,61,4
X1,163,7.95201063156128,-1.13682723045349,376.766235351562,-7.34593772888184,1.60917544364929,0.304383993148804,0.702663779258728,5010.392578125,260,-3.92688155174255,0.233106017112732,348.332397460938,1527.423828125,71416,0,207147.908500001,519238.351500001,-114.82425571764,X1,73,11,4
X1,4287,10.0791110992432,-2.68076586723328,1209.04541015625,-11.5795726776123,1.58264744281769,0.18409962952137,0.571573734283447,4283.92724609375,417,-10.215124130249,0.00551620731130242,542.988403320312,1976.02490234375,38584,0,189063.6338,568443.566500001,-115.116254209227,X1,17,210,7
X1,40,9.38217258453369,-1.97165250778198,3828.68896484375,-9.0080623626709,2.50721430778503,0.222157806158066,0.744538068771362,5343.0966796875,283,-7.33012199401855,0.289024472236633,410.308044433594,2100.99780273438,82683,1,204091.435699999,516841.645,-114.86333079904,X1,90,87,1
X1,3677,7.4644832611084,-1.73881018161774,2055.91088867188,-7.10791730880737,2.21510052680969,0.326655626296997,0.671014428138733,5007.20947265625,382,-6.11727857589722,0.0443648770451546,492.907257080078,2123.71362304688,49487,0,187120.882200001,554751.1413,-115.12929309878,X1,63,74,8
X1,3631,9.09758281707764,-7.7947998046875,13496.076171875,-8.9768123626709,2.47940444946289,0.238600626587868,0.741745233535767,6445.14794921875,247,-3.16390347480774,0.0959543436765671,515.033569335938,2746.36791992188,99272,0,168723.8949,555803.972200001,-115.380276672533,X1,87,192,6
